enunciado_n;enunciado;ENTR-01;ENTR-02;ENTR-13;CODIGOS_PROPUESTOS;MOTIVO_PROPUESTA;n_citas;entrevistas_que_lo_sostienen;CODIGOS_VERIFICADOS;VERIFICADO_POR;ALERTA
1;Registro en libreta y reporte por WhatsApp sin formato fijo;R;P;C;"CANAL_INFORMAL; REGISTRO_PAPEL; REGISTRO_CLIMA; PERDIDA_DATOS; HISTORIAL_LOTE";"CANAL_INFORMAL (3.8): reporte; REGISTRO_PAPEL (2.4): registro; REGISTRO_CLIMA (2.4): registro";23;"ENTR-10; ENTR-11; ENTR-12; ENTR-13; ENTR-14; ENTR-15; ENTR-16; EV-01; EV-02; EV-04; EV-05; EV-06; EV-07";;;RECHAZADO por al menos un participante
2;Reporte con detalle insuficiente;R;P;C;CANAL_INFORMAL;CANAL_INFORMAL (3.8): reporte;3;"ENTR-10; EV-07";;;RECHAZADO por al menos un participante
3;Brecha entre aviso y verificación en sitio;C;P;C;"DIAGNOSTICO_SITIO; VERIFICACION_VISUAL; VERIFICACION_DIAGNOSTICO; SUPERVISION_RECORRIDO; LATENCIA_VERIFICACION";"DIAGNOSTICO_SITIO (3.8): sitio; VERIFICACION_VISUAL (2.7): verificacion; VERIFICACION_DIAGNOSTICO (2.7): verificacion";14;"ENTR-10; ENTR-11; ENTR-14; ENTR-16; EV-01; EV-02; EV-03; EV-04; EV-05; EV-06; EV-07";;;
4;Conectividad estable solo en el campamento;P;P;C;CONECTIVIDAD_PARCIAL;CONECTIVIDAD_PARCIAL (3.8): conectividad;3;"ENTR-15; EV-06; EV-07";;;
5;Pago mixto y necesidad de conteo confiable;P;P;C;"COLOR_NO_FIABLE; EVALUACION_DESEMPENO; ENTREGA_VERBAL; CONTEO_FLORES; CONTEO_DIARIO";"COLOR_NO_FIABLE (3.8): confiable; EVALUACION_DESEMPENO (2.7): conteo; ENTREGA_VERBAL (2.7): conteo";8;"EV-01; EV-03; EV-05; EV-07; EV-08";;;
6;Riego y control diario como factores determinantes;P;P;C;FACTOR_PRODUCTIVIDAD;FACTOR_PRODUCTIVIDAD (7.7): riego+determinantes;3;"EV-01; EV-02; EV-03";;;
7;Dificultad de adopción concentrada en el personal manual;R;P;P;"REGISTRO_PAPEL; USUARIO_NO_EXPERTO; ESCASEZ_MANO_OBRA; EQUIPOS_TRABAJO";"REGISTRO_PAPEL (3.8): manual; USUARIO_NO_EXPERTO (3.1): personal; ESCASEZ_MANO_OBRA (3.1): personal";17;"ENTR-09; ENTR-11; ENTR-13; ENTR-14; ENTR-15; ENTR-16; EV-01; EV-05; EV-06; EV-07";;;RECHAZADO por al menos un participante
8;Formalización del registro asociada al tamaño de la finca;R;P;C;"CALIFICACION_TICKET; REGISTRO_PAPEL; REGISTRO_CLIMA; PERDIDA_DATOS; HISTORIAL_LOTE";"CALIFICACION_TICKET (3.8): tamano; REGISTRO_PAPEL (2.4): registro; REGISTRO_CLIMA (2.4): registro";21;"ENTR-10; ENTR-11; ENTR-12; ENTR-13; ENTR-14; ENTR-15; ENTR-16; EV-01; EV-02; EV-04; EV-05; EV-06; EV-07";;;RECHAZADO por al menos un participante
9;Cosecha programada por desgrane del fruto;C;P;P;"PEPA_DESPRENDIDA; CALIDAD_COMO_INDICADOR; SOBREMADURACION; PROBLEMA_FRUTA_VERDE; CICLO_ANTESIS_COSECHA";"PEPA_DESPRENDIDA (3.4): fruto; CALIDAD_COMO_INDICADOR (3.4): fruto; SOBREMADURACION (2.9): cosecha";8;"EV-01; EV-02; EV-03; EV-04; EV-08";;;
10;Decisión por observación del cielo y desconfianza en reportes climáticos;R;NA;P;"FALTA_ESPECIFICACION; RECOMENDACION_ACCIONABLE; MONITOREO_VISUAL";"FALTA_ESPECIFICACION (3.8): reportes; RECOMENDACION_ACCIONABLE (3.4): observacion; MONITOREO_VISUAL (3.4): observacion";6;"ENTR-10; ENTR-12; ENTR-15; EV-01; EV-02; EV-08";;;RECHAZADO por al menos un participante
11;Abandono de herramientas por resistencia al cambio;SP;NA;C;RESISTENCIA_CAMBIO;RESISTENCIA_CAMBIO (10.4): abandono+resistencia+cambio;9;"ENTR-09; ENTR-11; ENTR-12; ENTR-13; ENTR-14; ENTR-16";;;
12;La mayor dificultad reside en lograr el uso efectivo;P;NA;C;;;0;;;;SIN CITA LITERAL QUE LO SOSTENGA
