codigo;formulario;fecha;entrevista;audio;video;foto;sesion_prototipo;publicacion_deposito_abierto;envio_a_LLM_o_transcripcion_externa;nota
ENTR-01;Consentimiento manuscrito (A.03 original);2026-05-23;AUTORIZADO;NO_CUBIERTO;NO_CUBIERTO;NO_CUBIERTO;NO_APLICA;PARCIAL;NO_CUBIERTO;"El formulario no menciona grabación ni usos posteriores. Autoriza incorporar la información en documentos académicos, informes y entregables; no menciona repositorio abierto."
ENTR-02;Consentimiento manuscrito (A.03 original);2026-05-23;AUTORIZADO;NO_CUBIERTO;NO_CUBIERTO;NO_CUBIERTO;NO_APLICA;PARCIAL;NO_CUBIERTO;"El formulario no menciona grabación ni usos posteriores. Autoriza incorporar la información en documentos académicos, informes y entregables; no menciona repositorio abierto."
ENTR-03;Consentimiento manuscrito (A.03 original);2026-05-23;AUTORIZADO;NO_CUBIERTO;NO_CUBIERTO;NO_CUBIERTO;NO_APLICA;PARCIAL;NO_CUBIERTO;"El formulario no menciona grabación ni usos posteriores. Autoriza incorporar la información en documentos académicos, informes y entregables; no menciona repositorio abierto."
ENTR-04;Formulario de consentimiento informado (2.ª ronda);2026-07-28;AUTORIZADO;AUTORIZADO;AUTORIZADO;NO_CUBIERTO;NO_APLICA;PARCIAL;NO_CUBIERTO;"Una sola casilla 'Autorizo grabación de audio/video: Sí' (marcada). Autoriza publicación científica sin nombre ni cargo; no menciona repositorio abierto (el uso del modelo con la transcripción de ENTR-04 consta en la adenda del equipo, no en el consentimiento)."
ENTR-05;Formulario de consentimiento informado (2.ª ronda);2026-07-28;AUTORIZADO;AUTORIZADO;AUTORIZADO;NO_CUBIERTO;NO_APLICA;PARCIAL;NO_CUBIERTO;"Una sola casilla 'Autorizo grabación de audio/video: Sí' (marcada). Autoriza publicación científica sin nombre ni cargo; no menciona repositorio abierto."
ENTR-06;Formulario de consentimiento informado (2.ª ronda);2026-07-28;AUTORIZADO;AUTORIZADO;AUTORIZADO;NO_CUBIERTO;NO_APLICA;PARCIAL;NO_CUBIERTO;"Una sola casilla 'Autorizo grabación de audio/video: Sí' (marcada). Autoriza publicación científica sin nombre ni cargo; no menciona repositorio abierto."
ENTR-07;Formulario de consentimiento informado (2.ª ronda);2026-07-28;AUTORIZADO;AUTORIZADO;AUTORIZADO;NO_CUBIERTO;NO_APLICA;PARCIAL;NO_CUBIERTO;"Una sola casilla 'Autorizo grabación de audio/video: Sí' (marcada). Autoriza publicación científica sin nombre ni cargo; no menciona repositorio abierto."
ENTR-08;Formulario de consentimiento informado (2.ª ronda);2026-07-28;AUTORIZADO;AUTORIZADO;AUTORIZADO;NO_CUBIERTO;NO_APLICA;PARCIAL;NO_CUBIERTO;"Una sola casilla 'Autorizo grabación de audio/video: Sí' (marcada). Autoriza publicación científica sin nombre ni cargo; no menciona repositorio abierto."
ENTR-09;A.03 v3 (3.ª ronda);2026-08-31;AUTORIZADO;AUTORIZADO;AUTORIZADO;NO_CUBIERTO;NO_AUTORIZADO;AUTORIZADO;NO_CUBIERTO;Casillas marcadas: entrevista, audio, video, publicación y depósito abierto anonimizado. 'Sesión con el prototipo' SIN marcar.
ENTR-10;A.03 v3 (3.ª ronda);2026-08-31;AUTORIZADO;AUTORIZADO;AUTORIZADO;NO_CUBIERTO;NO_AUTORIZADO;AUTORIZADO;NO_CUBIERTO;Casillas marcadas: entrevista, audio, video, publicación y depósito abierto anonimizado. 'Sesión con el prototipo' SIN marcar.
ENTR-11;A.03 v3 (3.ª ronda);2026-08-31;AUTORIZADO;AUTORIZADO;AUTORIZADO;NO_CUBIERTO;USADO_SIN_AUTORIZACION;AUTORIZADO;NO_CUBIERTO;Casillas marcadas: entrevista, audio, video, publicación y depósito abierto anonimizado. 'Sesión con el prototipo' SIN marcar. Se le mostró una interfaz (líneas 97 a 107 de la transcripción).
ENTR-12;A.03 v3 (3.ª ronda);2026-08-31;AUTORIZADO;AUTORIZADO;AUTORIZADO;NO_CUBIERTO;USADO_SIN_AUTORIZACION;AUTORIZADO;NO_CUBIERTO;"Casillas marcadas: entrevista, audio, video, publicación y depósito abierto anonimizado. 'Sesión con el prototipo' SIN marcar. Se le mostraron pantallas del prototipo (líneas 49 a 57); el fragmento CONSOLIDADO_SEMANAL (línea 55) proviene de esa parte."
ENTR-13;A.03 v3 (3.ª ronda);2026-09-01;AUTORIZADO;AUTORIZADO;AUTORIZADO;NO_CUBIERTO;NO_AUTORIZADO;AUTORIZADO;NO_CUBIERTO;Casillas marcadas: entrevista, audio, video, publicación y depósito abierto anonimizado. 'Sesión con el prototipo' SIN marcar.
ENTR-14;A.03 v3 (3.ª ronda);2026-09-01;AUTORIZADO;AUTORIZADO;AUTORIZADO;NO_CUBIERTO;NO_AUTORIZADO;AUTORIZADO;NO_CUBIERTO;Casillas marcadas: entrevista, audio, video, publicación y depósito abierto anonimizado. 'Sesión con el prototipo' SIN marcar.
ENTR-15;A.03 v3 (3.ª ronda);2026-09-01;AUTORIZADO;AUTORIZADO;AUTORIZADO;NO_CUBIERTO;NO_AUTORIZADO;AUTORIZADO;NO_CUBIERTO;Casillas marcadas: entrevista, audio, video, publicación y depósito abierto anonimizado. 'Sesión con el prototipo' SIN marcar.
ENTR-16;A.03 v3 (3.ª ronda);2026-09-01;AUTORIZADO;AUTORIZADO;AUTORIZADO;NO_CUBIERTO;NO_AUTORIZADO;AUTORIZADO;NO_CUBIERTO;Casillas marcadas: entrevista, audio, video, publicación y depósito abierto anonimizado. 'Sesión con el prototipo' SIN marcar.
