id_origen;nombre;descripcion;actor;entradas_salidas;precondicion_postcondicion;prioridad_moscow;criterio_verificacion
H-002;Gestión de variedades de palma;Función: Registrar por lote la variedad sembrada y usarla para parametrizar umbrales de diagnóstico y madurez y las advertencias sobre polinizadores naturales.;Administrador / Asesor técnico;Entrada: variedad y parámetros del lote. Salida: umbrales para diagnóstico y clasificación.;Precondición: lote existente. | Postcondición: módulos de IA usan los umbrales de su variedad.;Must;Verificación: Para guineensis aplicar un umbral de madurez de 3 frutos desprendidos y para híbrido, de 5.
H-003;Clasificación de madurez del racimo por desprendimiento;"Función: Estimar la madurez de un racimo desde una fotografía de su parte basal usando el conteo de frutos desprendidos y el umbral de la variedad; no usar el color del fruto.";Técnico de la extractora / Cosechador;Entrada: fotografía basal del racimo y variedad. Salida: madurez estimada (verde, maduro o sobremaduro), nivel de confianza y explicación.;Precondición: lote con variedad asignada. | Postcondición: estimación asociada a racimo, lote y fecha.;Must;"Verificación: Para híbrido, menos de 5 frutos desprendidos indica verde y 5 o más maduro; para guineensis, aplicar el umbral de 3 frutos."
H-005;Registro de la calificación de calidad emitida por la extractora;Función: Registrar del ticket de la extractora peso bruto, tara, peso neto y calificación de calidad: tamaño, fruta verde, sobremadura, malformada y pedúnculo largo.;Administrador general;Entrada: datos del ticket de pesaje. Salida: entrega asociada a lote, fecha y calificación.;Precondición: despacho registrado. | Postcondición: calificación asociada al lote y disponible en el histórico.;Should;Verificación: Registrado un ticket, asociar sus valores al lote de origen y permitir consultarlos en el histórico de entregas.
H-007;Control de la ventana entre corte y entrega;Función: Registrar fecha y hora de corte por lote, calcular el tiempo hasta la entrega en la extractora y advertir cuando supere el valor recomendado para la variedad.;Técnico de la extractora;Entrada: fecha y hora de corte y entrega. Salida: intervalo y advertencia si supera el umbral.;Precondición: cosecha con fecha y hora. | Postcondición: intervalo registrado con el despacho.;Should;Verificación: Con un umbral de 24 horas, una entrega realizada 30 horas después del corte genera una advertencia.
H-008;Compartición de la estimación de cosecha con la planta extractora;Función: Exportar a la extractora la estimación de cosecha del período limitada al conteo de racimos y peso promedio estimado, sin datos personales ni económicos.;Técnico de la extractora;Entrada: período y lotes. Salida: archivo con conteo de racimos y peso promedio estimado.;Precondición: estimación calculada. | Postcondición: archivo disponible sin datos personales.;Should;Verificación: El archivo exportado contiene conteo de racimos y peso promedio por período y excluye datos personales y económicos.
H-009;Registro de la guía de remisión del despacho;Función: Registrar número y fecha de la guía de remisión de cada despacho y advertir cuando un despacho se registre sin guía.;Técnico de la extractora;Entrada: número y fecha de guía. Salida: guía asociada al despacho o advertencia.;Precondición: despacho registrado. | Postcondición: guía vinculada al despacho.;Could;Verificación: Un despacho sin número de guía genera una advertencia visible para la administración antes del cierre.
H-010;Registro de recepción de fruta en el centro de acopio;Función: Registrar cada llegada de vehículo con centro de acopio, fecha y hora, finca, productor y conductor, y generar un identificador único de recepción.;Basculero / Técnico de extractora;Entrada: centro de acopio, fecha y hora, finca, productor y conductor. Salida: recepción con identificador único.;Precondición: vehículo en centro habilitado. | Postcondición: recepción abierta para pesaje.;Must;Verificación: Registrada una llegada con los cinco datos requeridos, generar un identificador único que permita recuperar centro de acopio, finca, productor, conductor, fecha y hora.
H-011;Captura del peso bruto en la báscula de ingreso;Función: Registrar el peso bruto del vehículo cargado obtenido en la báscula de ingreso y asociarlo a la recepción abierta.;Basculero;Entrada: recepción y peso bruto. Salida: recepción con peso bruto registrado.;Precondición: recepción abierta sin peso bruto. | Postcondición: peso bruto asociado antes de la descarga.;Must;"Verificación: Registrado el peso bruto en una recepción abierta, asociarlo a ella; un segundo registro se conserva como corrección junto con el valor anterior."
H-012;Cálculo del peso neto a partir de la tara de salida;Función: Registrar el peso de salida como tara y calcular el peso neto como diferencia entre peso bruto y tara.;Basculero;Entrada: peso bruto y peso de salida. Salida: tara y peso neto.;Precondición: peso bruto registrado y vehículo en báscula. | Postcondición: peso neto disponible para emitir el ticket.;Must;Verificación: Con 20 000 kg de peso bruto y 7 500 kg de tara, calcular y conservar 12 500 kg de peso neto.
H-013;Calificación de madurez por frutos desprendidos según la variedad;Función: Calificar la madurez por frutos desprendidos usando un umbral de 3 para guineensis y de 5 para híbridos.;Operario de pista / Técnico de extractora;Entrada: variedad y frutos desprendidos. Salida: indicador de madurez cumplido o no.;Precondición: fruta en descarga y variedad declarada. | Postcondición: madurez asociada a la recepción.;Must;"Verificación: Guineensis cumple con 3 frutos desprendidos y no con 2; híbrido cumple con 5 y no con 4."
