id_origen;nombre;descripcion;actor;entradas_salidas;precondicion_postcondicion;prioridad_moscow;criterio_verificacion
LLM-001;Registro de pesaje bruto en báscula;Función: registrar el peso bruto del vehículo al ingresar al centro de acopio, tomado por el basculero.;Basculero;Entrada: peso bruto medido. Salida: registro de peso bruto asociado al vehículo.;Precondición: el vehículo se encuentra sobre la báscula. | Postcondición: el peso bruto queda almacenado en el sistema.;Must;Verificación: El sistema muestra y almacena el peso bruto ingresado por el basculero para cada vehículo recibido.
LLM-002;Captura de datos de procedencia del vehículo;Función: registrar, junto al pesaje, los datos de procedencia: finca de origen, dueño y chofer.;Basculero;Entrada: nombre de finca, nombre de dueño, nombre de chofer. Salida: registro asociado al ticket del vehículo.;Precondición: el vehículo está siendo pesado. | Postcondición: los datos de procedencia quedan vinculados al registro de pesaje.;Must;Verificación: Cada registro de pesaje contiene finca, dueño y chofer capturados por el basculero.
LLM-003;Registro de calificación de fruta por operarios;Función: a los operarios de pista registrar la calificación de la fruta descargada según los indicadores de calidad de la empresa.;Operarios de pista;Entrada: resultado de la calificación de calidad. Salida: registro de calificación asociado al vehículo/lote.;Precondición: la fruta ha sido descargada en la pista. | Postcondición: la calificación queda registrada para el lote correspondiente.;Must;Verificación: El sistema almacena una calificación de calidad por cada descarga de fruta realizada en pista.
LLM-004;Registro de motivo de rechazo de racimos;Función: registrar el motivo específico por el cual un racimo es rechazado (desprendimiento insuficiente, pedúnculo largo, malformación).;Operarios de pista;Entrada: motivo de rechazo seleccionado. Salida: registro de rechazo vinculado al lote.;Precondición: el racimo no cumple los indicadores de calidad establecidos. | Postcondición: el motivo de rechazo queda documentado.;Must;Verificación: Todo racimo marcado como rechazado tiene asociado un motivo de rechazo registrado en el sistema.
LLM-005;Verificación de frutos desprendidos según variedad;Función: registrar el número de frutos desprendidos observados y compararlo contra el mínimo exigido según la variedad (3 en guineensis, 5 en híbridos).;Operarios de pista;Entrada: variedad del racimo, número de frutos desprendidos. Salida: indicación de cumplimiento o incumplimiento del criterio de madurez.;Precondición: se conoce la variedad del racimo evaluado. | Postcondición: el sistema indica si el racimo cumple el criterio de madurez.;Must;Verificación: El sistema aplica el umbral correcto (3 o 5 frutos desprendidos) según la variedad indicada.
LLM-006;Registro de longitud de pedúnculo;Función: registrar la longitud del pedúnculo del racimo para identificar los casos que superen los 5 centímetros en su base.;Operarios de pista;Entrada: longitud del pedúnculo medida. Salida: alerta u observación cuando la longitud supera el límite.;Precondición: el racimo está siendo evaluado en pista. | Postcondición: se genera una observación si la longitud excede el límite.;Should;Verificación: El sistema marca una observación cuando la longitud de pedúnculo registrada es mayor a 5 cm.
LLM-007;Registro de porcentaje de malformación;Función: registrar el porcentaje de malformación de un racimo y determinar automáticamente su rechazo cuando supere el 30 %.;Operarios de pista;Entrada: porcentaje de malformación estimado. Salida: decisión de aceptación o rechazo del racimo.;Precondición: el racimo presenta signos de malformación. | Postcondición: el racimo queda marcado como rechazado si supera el umbral.;Must;Verificación: Todo racimo con malformación registrada superior al 30 % queda marcado como rechazado.
LLM-008;Registro de devolución de fruta rechazada;Función: registrar la devolución de la fruta rechazada en el mismo vehículo que la transportó.;Basculero / Operarios de pista;Entrada: identificación del vehículo y de la fruta rechazada. Salida: registro de devolución vinculado al vehículo.;Precondición: se determinó que la fruta debe ser rechazada. | Postcondición: la devolución queda registrada y el vehículo regresa a báscula.;Must;Verificación: Cada rechazo genera un registro de devolución asociado al vehículo correspondiente.
LLM-009;Registro de peso de salida;Función: registrar el peso de salida del vehículo cuando regresa a báscula tras una devolución de fruta rechazada.;Basculero;Entrada: peso de salida medido. Salida: registro de peso de salida asociado al vehículo.;Precondición: el vehículo con fruta rechazada regresa a la báscula. | Postcondición: el peso de salida queda almacenado.;Must;Verificación: Todo vehículo con fruta rechazada tiene un peso de salida registrado en el sistema.
LLM-010;Emisión de tiquete de devolución;Función: generar un tiquete correspondiente cuando un vehículo sale con fruta rechazada.;Basculero;Entrada: datos de pesaje de salida. Salida: tiquete de devolución impreso o generado.;Precondición: el peso de salida fue registrado. | Postcondición: el tiquete de devolución queda emitido.;Must;Verificación: El sistema emite un tiquete cada vez que se registra un peso de salida por devolución.
LLM-011;Cálculo automático de peso neto;Función: calcular automáticamente el peso neto de la fruta a partir del peso bruto y el peso tara registrados.;Sistema interno de la empresa;Entrada: peso bruto, peso tara. Salida: peso neto calculado.;Precondición: se registraron el peso bruto y el peso tara. | Postcondición: el peso neto queda calculado y almacenado.;Must;Verificación: El peso neto mostrado equivale siempre a la diferencia entre el peso bruto y el peso tara registrados.
LLM-012;Emisión de tiquete de pesaje completo;Función: emitir un tiquete que incluya peso bruto, peso tara, peso neto, nombre del productor, finca, transportista, placas del vehículo, y fecha y hora de ingreso.;Sistema interno de la empresa;Entrada: datos de pesaje y de procedencia del vehículo. Salida: tiquete de pesaje con todos los campos indicados.;Precondición: se completó el proceso de pesaje del vehículo. | Postcondición: el tiquete queda generado con todos los datos requeridos.;Must;Verificación: Cada tiquete emitido contiene los ocho campos mencionados sin omisiones.
LLM-013;Registro de calificación de tamaño de fruta en el tiquete;Función: incluir en el tiquete la calificación de tamaño de la fruta como grande, mediana o pequeña.;Sistema interno de la empresa;Entrada: calificación de tamaño registrada en pista. Salida: campo de calificación de tamaño en el tiquete.;Precondición: la fruta fue calificada por tamaño en pista. | Postcondición: el tiquete muestra la calificación de tamaño correspondiente.;Must;Verificación: El tiquete generado muestra una de las tres categorías de tamaño (grande, mediana, pequeña) para cada lote.
LLM-014;Registro de defectos de calidad en el tiquete;Función: incluir en el tiquete los defectos detectados en la fruta: fruta verde, fruta sobremadura, malformada y pedúnculos largos.;Sistema interno de la empresa;Entrada: defectos registrados en pista. Salida: campo de defectos en el tiquete.;Precondición: se detectaron uno o más defectos en la fruta evaluada. | Postcondición: el tiquete refleja los defectos identificados.;Must;Verificación: El tiquete muestra todos los defectos aplicables detectados durante la calificación en pista.
LLM-015;Entrega física del tiquete al chofer o productor;Función: la entrega o impresión del tiquete para el chofer o productor presente en el centro de acopio.;Sistema interno de la empresa;Entrada: tiquete generado. Salida: tiquete físico entregado al chofer o productor.;Precondición: el tiquete fue emitido. | Postcondición: el tiquete queda en poder del chofer o productor.;Must;Verificación: Se genera una copia física o entregable del tiquete por cada proceso de pesaje completado.
LLM-016;Envío automático de tiquete por correo electrónico;Función: enviar automáticamente el tiquete por correo electrónico a los productores que tienen registrado un correo.;Sistema interno de la empresa;Entrada: correo electrónico registrado del productor, tiquete emitido. Salida: correo electrónico enviado con el tiquete.;Precondición: el productor tiene un correo electrónico registrado en el sistema. | Postcondición: el tiquete es enviado automáticamente a ese correo.;Should;Verificación: Todo productor con correo registrado recibe automáticamente el tiquete correspondiente a su entrega.
LLM-017;Registro de guía de remisión del vehículo;Función: registrar si el vehículo cuenta con guía de remisión, dado que es un documento exigido por ley para el transporte.;Basculero;Entrada: indicación de presencia o ausencia de guía de remisión. Salida: registro asociado al vehículo.;Precondición: el vehículo se encuentra en recepción. | Postcondición: el estado de la guía de remisión queda registrado.;Should;Verificación: El sistema almacena el estado de la guía de remisión para cada vehículo recibido.
