id_conjunto;id_origen;nombre;descripcion;actor_origen;entradas_salidas;pre_postcondiciones;prioridad;criterio_verificacion;evidencia_fuente;procedencia;nota_metodologica;cita_literal_entr04;linea_entr04;estado_revision_a3;tratamiento_a3;nota_soporte_a3
H-002;RF-10;Gestión de variedades de palma;El sistema debe registrar la variedad sembrada por lote y emplearla para parametrizar los umbrales de diagnóstico y de madurez, así como las advertencias sobre polinizadores naturales.;Administrador / Asesor técnico · EV-01, EV-02, EV-04;Entrada: variedad asignada al lote y sus parámetros. Salida: umbrales aplicables a los módulos de diagnóstico y clasificación.;Pre: el lote existe. Post: los módulos de IA operan con los umbrales de la variedad correspondiente.;Must;"Para un lote guineensis, el umbral de madurez aplicado es de 3 frutos desprendidos; para un lote híbrido, de 5.";EV-04 / ENTR-04;Histórico del ERS;Requisito existente antes del experimento.;para recibir un fruto maduro debe tener, en racimos guineensis, 3 frutos desprendidos, y en el caso de híbridos, 5 frutos desprendidos.;19;LITERAL_VERIFICADA;INCLUIR;Cita literal verificada contra la transcripción congelada ENTR-04.
H-003;RF-21;Clasificación de madurez del racimo por desprendimiento;El sistema debe estimar el estado de madurez de un racimo a partir de una fotografía de su parte basal, empleando el conteo de frutos desprendidos como criterio y aplicando el umbral correspondiente a la variedad del lote. El sistema no debe emplear el color del fruto como criterio de clasificación.;Técnico de la extractora / Cosechador · EV-04, EV-08;Entrada: fotografía de la parte basal del racimo y variedad del lote. Salida: estado estimado (verde, maduro, sobremaduro) con nivel de confianza y explicación.;Pre: el lote tiene variedad asignada. Post: la estimación queda asociada al racimo, el lote y la fecha.;Must;"Para híbrido, menos de 5 frutos desprendidos se clasifica como verde y 5 o más como maduro; para guineensis el umbral aplicado es 3.";EV-04, EV-08 / ENTR-04;Histórico del ERS;Incluido porque EV-04 forma parte de su traza.;para recibir un fruto maduro debe tener, en racimos guineensis, 3 frutos desprendidos, y en el caso de híbridos, 5 frutos desprendidos.;19;LITERAL_VERIFICADA;INCLUIR;Cita literal verificada contra la transcripción congelada ENTR-04.
H-005;RF-23;Registro de la calificación de calidad emitida por la extractora;El sistema debe permitir registrar los datos del ticket de pesaje emitido por la planta extractora: peso bruto, tara, peso neto y calificación de calidad (tamaño del fruto, fruta verde, sobremadura, malformada y pedúnculo largo).;Administrador general · EV-04;Entrada: datos del ticket de pesaje. Salida: registro de entrega asociado al lote y a la fecha, con su calificación.;Pre: existe un despacho registrado. Post: la calificación queda asociada al lote de origen y disponible para análisis histórico.;Should;Registrado un ticket, sus valores quedan asociados al lote de origen y son consultables en el histórico de entregas.;EV-04 / ENTR-04;Histórico del ERS;Requisito existente antes del experimento.;Cuando termina todo el proceso de pesaje, se emite un ticket de pesaje donde viene el peso bruto, el peso tara y el peso neto, que viene a ser el peso de la fruta.;71;LITERAL_VERIFICADA;INCLUIR;Cita literal verificada contra la transcripción congelada ENTR-04.
H-007;RF-25;Control de la ventana entre corte y entrega;El sistema debe registrar la fecha y hora de corte de cada lote cosechado y calcular el tiempo transcurrido hasta la entrega en la planta extractora, emitiendo una advertencia cuando dicho intervalo supere el valor recomendado para la variedad.;Técnico de la extractora · EV-04;Entrada: marca temporal de corte y de entrega. Salida: intervalo calculado y advertencia si excede el umbral configurado.;Pre: existe un registro de cosecha con marca temporal. Post: el intervalo queda registrado junto al despacho.;Should;Configurado un umbral de 24 horas, un despacho entregado 30 horas después del corte genera la advertencia correspondiente.;EV-04 / ENTR-04;Histórico del ERS;Requisito existente antes del experimento.;Entonces, nosotros normalmente recomendamos que sea dentro de las 24 horas, aunque siempre pasan hasta 48 o un poquito más.;55;LITERAL_VERIFICADA;INCLUIR;Cita literal verificada contra la transcripción congelada ENTR-04.
H-008;RF-32;Compartición de la estimación de cosecha con la planta extractora;El sistema debe permitir exportar la estimación de cosecha del período hacia la planta extractora, limitando la información compartida al conteo de racimos y al peso promedio estimado, con exclusión de cualquier dato personal o económico.;Técnico de la extractora · EV-04;Entrada: período y lotes seleccionados. Salida: archivo estructurado con conteo de racimos y peso promedio estimado.;Pre: existe una estimación calculada. Post: el archivo queda disponible para su envío, sin contener datos personales.;Should;El archivo exportado contiene conteo de racimos y peso promedio por período y no incluye campos de identificación personal ni información económica.;EV-04 / ENTR-04;Histórico del ERS;Requisito existente antes del experimento.;Nosotros, sí, como empresa, igual estamos comprometidos con un proyecto de mejoramiento de la producción de los palmicultores, y para este caso necesitaríamos que se pueda llevar, quizás, cuando suban el conteo de racimos, quizás el peso promedio que tengan, para nosotros también llevar el registro, un histórico de cómo puede ir mejorando o no la producción de toda la finca.;99;LITERAL_VERIFICADA;INCLUIR;Cita literal verificada contra la transcripción congelada ENTR-04.
H-009;RF-33;Registro de la guía de remisión del despacho;El sistema debe permitir registrar el número y la fecha de la guía de remisión asociada a cada despacho de fruta, y advertir cuando un despacho se registre sin ella.;Técnico de la extractora · EV-04;Entrada: número y fecha de la guía de remisión. Salida: despacho con guía asociada, o advertencia de ausencia.;Pre: existe un despacho registrado. Post: la guía queda vinculada al despacho.;Could;Un despacho registrado sin número de guía de remisión genera una advertencia visible para la administración antes de su cierre.;EV-04 / ENTR-04;Histórico del ERS;Requisito existente antes del experimento.;Actualmente, muchos de los palmicultores no manejan esta guía de remisión, aunque es exigida por la ley.;79;LITERAL_VERIFICADA;INCLUIR;Cita literal verificada contra la transcripción congelada ENTR-04.
H-010;EXP-01;Registro de recepción de fruta en el centro de acopio;El sistema debe registrar cada llegada de vehículo con fruta indicando el centro de acopio, la fecha y hora de ingreso, la finca de procedencia, el productor propietario de la fruta y el conductor del vehículo, y generar un identificador único de recepción.;Basculero / Técnico de extractora · ENTR-04;Entrada: centro de acopio, fecha y hora de ingreso, finca, productor y conductor. Salida: recepción con identificador único.;Pre: el vehículo ingresa a un centro de acopio habilitado. Post: la recepción queda abierta y disponible para el pesaje.;Must;Registrada una llegada con los cinco datos obligatorios, el sistema devuelve un identificador único y permite recuperar por él el centro de acopio, la finca, el productor, el conductor y la fecha y hora.;ENTR-04 congelada · commit 06e241b7ba0ec43d8541c8908bca31a9f7327ffb;Elicitado durante la fase de experimentación para el mínimo de 25 RF.;Derivado únicamente de ENTR-04, desviación metodológica aceptada por el equipo.;En ese mismo ticket viene el nombre del productor, viene la finca, viene el transportista, las placas del vehículo y la fecha y hora de ingreso.;71;LITERAL_VERIFICADA;INCLUIR;La cita seleccionada respalda productor, finca, vehículo, fecha y hora. La llegada al centro de acopio y los datos de procedencia/conductor aparecen también en la línea 15 de ENTR-04. El identificador único es una formalización de diseño y no una frase literal de la entrevista.
H-011;EXP-02;Captura del peso bruto en la báscula de ingreso;El sistema debe registrar el peso bruto del vehículo cargado obtenido en la báscula de ingreso y asociarlo a la recepción abierta correspondiente.;Basculero · ENTR-04;Entrada: identificador de recepción y peso bruto en kilogramos. Salida: recepción con peso bruto registrado.;Pre: existe una recepción abierta sin peso bruto. Post: el peso bruto queda asociado a la recepción antes de la descarga.;Must;Registrado un peso bruto sobre una recepción abierta, el valor queda asociado a esa recepción y un segundo registro sobre la misma recepción se conserva como corrección con su valor anterior.;ENTR-04 congelada · commit 06e241b7ba0ec43d8541c8908bca31a9f7327ffb;Elicitado durante la fase de experimentación para el mínimo de 25 RF.;Derivado únicamente de ENTR-04, desviación metodológica aceptada por el equipo.;Ahí lo atiende el señor basculero, donde le indica su peso bruto, y en este caso le pregunta sus datos:;15;LITERAL_VERIFICADA;INCLUIR;Cita literal verificada contra la transcripción congelada ENTR-04.
H-012;EXP-03;Cálculo del peso neto a partir de la tara de salida;El sistema debe registrar el peso de salida del vehículo en la báscula como tara y calcular el peso neto de fruta como la diferencia entre el peso bruto y la tara.;Basculero · ENTR-04;Entrada: peso bruto registrado y peso de salida. Salida: tara y peso neto calculados.;Pre: la recepción tiene peso bruto y el vehículo retorna a báscula. Post: el peso neto queda disponible para la emisión del ticket.;Must;Con un peso bruto de 20 000 kg y un peso de salida de 7 500 kg, el sistema calcula y conserva un peso neto de 12 500 kg en la recepción.;ENTR-04 congelada · commit 06e241b7ba0ec43d8541c8908bca31a9f7327ffb;Elicitado durante la fase de experimentación para el mínimo de 25 RF.;Derivado únicamente de ENTR-04, desviación metodológica aceptada por el equipo.;Cuando termina todo el proceso de pesaje, se emite un ticket de pesaje donde viene el peso bruto, el peso tara y el peso neto, que viene a ser el peso de la fruta.;71;LITERAL_VERIFICADA;INCLUIR;Cita literal verificada contra la transcripción congelada ENTR-04.
H-013;EXP-04;Calificación de madurez por frutos desprendidos según la variedad;El sistema debe calificar la madurez de la fruta descargada a partir del número de frutos desprendidos, aplicando un umbral de 3 frutos para racimos guineensis y de 5 frutos para racimos híbridos.;Operario de pista / Técnico de extractora · ENTR-04;Entrada: variedad declarada y número de frutos desprendidos. Salida: indicador de madurez cumplido o no cumplido.;Pre: la fruta se encuentra en la pista de descarga y la variedad está declarada. Post: la calificación de madurez queda asociada a la recepción.;Must;"Un racimo guineensis con 3 frutos desprendidos cumple el indicador y con 2 no lo cumple; un racimo híbrido con 5 frutos desprendidos lo cumple y con 4 no lo cumple.";ENTR-04 congelada · commit 06e241b7ba0ec43d8541c8908bca31a9f7327ffb;Elicitado durante la fase de experimentación para el mínimo de 25 RF.;Derivado únicamente de ENTR-04, desviación metodológica aceptada por el equipo.;para recibir un fruto maduro debe tener, en racimos guineensis, 3 frutos desprendidos, y en el caso de híbridos, 5 frutos desprendidos.;19;LITERAL_VERIFICADA;ANALIZAR_APARTE_CON_LLM-005;Cita literal verificada contra la transcripción congelada ENTR-04.
